DCOL-1 - Condenser_Specification_Value,DCOL-1 - Reboiler_Specification_Value,3 - Molar Fraction (Mixture) / Ethanol (),DCOL-1 - Reboiler Duty (kcal/h)
0.8,1,0.759595,-266166
0.8,1.33333,0.759674,-317030
0.8,1.66667,0.759736,-358119
0.8,2,0.7598,-392088
0.8,2.33333,0.75983,-420846
0.8,2.66667,0.75983,-420846
0.8,3,0.75983,-420846
1.5,1,0.796737,-400626
1.5,1.33333,0.796922,-487583
1.5,1.66667,0.797073,-560568
1.5,2,0.797205,-622700
1.5,2.33333,0.797294,-676246
1.5,2.66667,0.797391,-722906
1.5,3,0.797455,-763980
2.2,1,0.81349,-490528
2.2,1.33333,0.813747,-605829
2.2,1.66667,0.813965,-705275
2.2,2,0.814146,-791920
2.2,2.33333,0.8143,-868084
2.2,2.66667,0.814435,-935560
2.2,3,0.814514,-995754
2.9,1,0.822789,-554797
2.9,1.33333,0.823095,-692513
2.9,1.66667,0.823352,-813682
2.9,2,0.823575,-921104
2.9,2.33333,0.823764,-1.02E+06
2.9,2.66667,0.823932,-1.10E+06
2.9,3,0.82408,-1.18E+06
3.6,1,0.82862,-603013
3.6,1.33333,0.82896,-758760
3.6,1.66667,0.82925,-897892
3.6,2,0.829499,-1.02E+06
3.6,2.33333,0.829716,-1.14E+06
3.6,2.66667,0.829909,-1.24E+06
3.6,3,0.830078,-1.33E+06
4.3,1,0.832586,-640517
4.3,1.33333,0.832951,-811033
4.3,1.66667,0.833264,-965187
4.3,2,0.833536,-1.11E+06
4.3,2.33333,0.833775,-1.23E+06
4.3,2.66667,0.833986,-1.35E+06
4.3,3,0.834173,-1.46E+06
5,1,0.835444,-670525
5,1.33333,0.835829,-853329
5,1.66667,0.83616,-1.02E+06
5,2,0.836449,-1.17E+06
5,2.33333,0.836706,-1.31E+06
5,2.66667,0.836929,-1.44E+06
5,3,0.837133,-1.56E+06
